Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
19153930,11/18/10 0:00,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,1-2 Family Dwelling,10306,35 SEAFOAM STREET,SEAFOAM STREET,DUSTAN STREET,CEDAR GROVE AVENUE,,,ADDRESS,STATEN ISLAND,,N/A,Assigned,12/18/10 0:00,11/18/10 0:00,02 STATEN ISLAND,STATEN ISLAND,956573,144777,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.56401207,-74.09961261,"(40.56401206998939, -74.09961260693875)"
19153931,11/18/10 0:00,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,1-2 Family Dwelling,10306,40 SEAFOAM STREET,SEAFOAM STREET,DUSTAN STREET,CEDAR GROVE AVENUE,,,ADDRESS,STATEN ISLAND,,N/A,Assigned,12/18/10 0:00,11/18/10 0:00,02 STATEN ISLAND,STATEN ISLAND,956612,144745,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.56392436,-74.09947211,"(40.563924357882264, -74.09947211092945)"
19167506,11/20/10 0:00,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,3+ Family Apartment Building,10452,1110 ANDERSON AVENUE,ANDERSON AVENUE,WEST 166 STREET,WEST 167 STREET,,,ADDRESS,BRONX,,N/A,Assigned,12/20/10 0:00,11/22/10 0:00,04 BRONX,BRONX,1005006,243538,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.8351065,-73.92499246,"(40.83510650283209, -73.92499246375499)"
19168883,11/20/10 0:00,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,Commercial Building,11214,220 BAY 22 STREET,BAY 22 STREET,BATH AVENUE,CROPSEY AVENUE,,,ADDRESS,BROOKLYN,,N/A,Assigned,12/20/10 0:00,11/22/10 0:00,11 BROOKLYN,BROOKLYN,983108,158335,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.60126921,-74.00411248,"(40.60126921420977, -74.00411247790764)"
19173667,11/21/10 0:00,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,1-2 Family Dwelling,11368,99-03 37 AVENUE,37 AVENUE,99 STREET,100 STREET,,,ADDRESS,CORONA,,N/A,Assigned,12/21/10 0:00,11/22/10 0:00,03 QUEENS,QUEENS,1020807,213391,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.75230997,-73.86805535,"(40.752309966931435, -73.86805535493485)"
19178711,11/22/10 0:00,12/15/10 0:00,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,3+ Family Mixed Use Building,11219,6719 13 AVENUE,13 AVENUE,67 STREET,OVINGTON AVENUE,,,ADDRESS,BROOKLYN,,N/A,Closed,12/22/10 0:00,12/15/10 0:00,10 BROOKLYN,BROOKLYN,983438,166843,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.62462196,-74.00292513,"(40.624621956287065, -74.00292513174044)"
19186719,11/23/10 0:00,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,3+ Family Apartment Building,11103,30-69 49 STREET,49 STREET,30 AVENUE,31 AVENUE,,,ADDRESS,ASTORIA,,N/A,Assigned,12/23/10 0:00,11/23/10 0:00,01 QUEENS,QUEENS,1009429,215770,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.75887943,-73.90911286,"(40.75887943269436, -73.90911285871071)"
19187033,11/23/10 0:00,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,3+ Family Apartment Building,10040,34 HILLSIDE AVENUE,HILLSIDE AVENUE,BOGARDUS PLACE,BEND,,,ADDRESS,NEW YORK,,N/A,Assigned,12/23/10 0:00,11/23/10 0:00,12 MANHATTAN,MANHATTAN,1003723,252080,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.85855469,-73.92960413,"(40.858554692773765, -73.92960412921278)"
19193148,11/24/10 0:00,12/20/10 0:00,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,1-2 Family Dwelling,11235,2823 BATCHELDER STREET,BATCHELDER STREET,GUNNISON COURT,EMMONS AVENUE,,,ADDRESS,BROOKLYN,,N/A,Closed,12/24/10 0:00,12/20/10 0:00,15 BROOKLYN,BROOKLYN,1002025,152327,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.58476071,-73.93600593,"(40.58476071274304, -73.93600592677639)"
19199569,11/25/10 0:00,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,1-2 Family Mixed Use Building,10016,220 EAST 36 STREET,EAST 36 STREET,QUEENS MIDTOWN TUNNEL EXIT,2 AVENUE,,,ADDRESS,NEW YORK,,N/A,Assigned,12/25/10 0:00,11/26/10 0:00,06 MANHATTAN,MANHATTAN,990880,211258,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.7465285,-73.97607252,"(40.74652850340917, -73.97607252343349)"
19207303,11/27/10 0:00,1/13/11 0:00,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,3+ Family Mixed Use Building,11223,1780 WEST 3 STREET,WEST 3 STREET,KINGS HIGHWAY,HIGHLAWN AVENUE,,,ADDRESS,BROOKLYN,,N/A,Closed,12/27/10 0:00,1/13/11 0:00,11 BROOKLYN,BROOKLYN,990897,159411,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.6042202,-73.9760623,"(40.60422019610889, -73.97606230366148)"
19216840,11/29/10 0:00,12/29/10 0:00,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,3+ Family Apartment Building,10034,119 PAYSON AVENUE,PAYSON AVENUE,BEAK STREET,BEND,,,ADDRESS,NEW YORK,,N/A,Closed,12/29/10 0:00,12/29/10 0:00,12 MANHATTAN,MANHATTAN,1004623,255674,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.8684171,-73.92633966,"(40.868417101467244, -73.92633966025667)"
19226241,11/30/10 0:00,1/20/11 0:00,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,3+ Family Apartment Building,11207,1459 BUSHWICK AVENUE,BUSHWICK AVENUE,CHAUNCEY STREET,PILLING STREET,,,ADDRESS,BROOKLYN,,N/A,Closed,12/30/10 0:00,1/20/11 0:00,04 BROOKLYN,BROOKLYN,1009770,188391,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.68372976,-73.90798578,"(40.683729755151326, -73.90798578377245)"
19227883,11/30/10 0:00,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,3+ Family Apartment Building,10003,145 EAST 16 STREET,EAST 16 STREET,IRVING PLACE,3 AVENUE,,,ADDRESS,NEW YORK,,N/A,Assigned,12/30/10 0:00,11/30/10 0:00,06 MANHATTAN,MANHATTAN,987784,207080,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.73506271,-73.98724809,"(40.73506271197443, -73.98724809188964)"
19227971,11/30/10 0:00,11/30/10 0:00,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,3+ Family Apartment Building,10009,269 EAST 10 STREET,EAST 10 STREET,1 AVENUE,AVENUE A,,,ADDRESS,NEW YORK,,N/A,Closed,12/30/10 0:00,11/30/10 0:00,03 MANHATTAN,MANHATTAN,988881,204617,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.72830187,-73.98329143,"(40.72830187478833, -73.98329142747356)"
19246965,12/2/10 0:00,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,1-2 Family Dwelling,11235,3022 BRIGHTON 3 STREET,BRIGHTON 3 STREET,OCEAN VIEW AVENUE,BRIGHTON BEACH AVENUE,,,ADDRESS,BROOKLYN,,N/A,Assigned,1/1/11 0:00,12/3/10 0:00,13 BROOKLYN,BROOKLYN,994063,149974,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.57831458,-73.96467436,"(40.57831458347031, -73.96467436320242)"
19244330,12/2/10 0:00,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,1-2 Family Dwelling,10314,136 MERRY MOUNT STREET,MERRY MOUNT STREET,TRAVIS AVENUE,KLONDIKE AVENUE,,,ADDRESS,STATEN ISLAND,,N/A,Assigned,1/1/11 0:00,12/3/10 0:00,02 STATEN ISLAND,STATEN ISLAND,940132,154473,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.59055908,-74.15884877,"(40.59055907927001, -74.15884877448931)"
19243884,12/2/10 0:00,12/21/10 0:00,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,1-2 Family Dwelling,11414,155-18 79 STREET,79 STREET,155 AVENUE,156 AVENUE,,,ADDRESS,HOWARD BEACH,,N/A,Closed,1/1/11 0:00,12/21/10 0:00,10 QUEENS,QUEENS,1024596,181041,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.66350052,-73.85457364,"(40.663500521669626, -73.85457363866388)"
19244835,12/2/10 0:00,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,3+ Family Apartment Building,10025,360 CENTRAL PARK WEST,CENTRAL PARK WEST,WEST 95 STREET,WEST 96 STREET,,,ADDRESS,NEW YORK,,N/A,Assigned,1/1/11 0:00,12/3/10 0:00,07 MANHATTAN,MANHATTAN,994006,227668,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.79156679,-73.96476706,"(40.79156678627206, -73.9647670611818)"
19246612,12/2/10 0:00,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,3+ Family Mixed Use Building,10028,1001 5 AVENUE,5 AVENUE,EAST 81 STREET,EAST 82 STREET,,,ADDRESS,NEW YORK,,N/A,Assigned,1/1/11 0:00,12/3/10 0:00,08 MANHATTAN,MANHATTAN,994602,222905,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.77849294,-73.962622,"(40.778492944371756, -73.96262199946393)"
19255521,12/3/10 0:00,1/13/11 0:00,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Odor,1-2 Family Dwelling,11215,383 11 STREET,11 STREET,5 AVENUE,6 AVENUE,,,ADDRESS,BROOKLYN,,N/A,Closed,1/2/11 0:00,1/13/11 0:00,06 BROOKLYN,BROOKLYN,988198,182371,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.66724212,-73.98576872,"(40.66724212053773, -73.9857687200698)"
19255554,12/3/10 0:00,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,1-2 Family Dwelling,10465,2967 LAWTON AVENUE,LAWTON AVENUE,LOGAN AVENUE,HOLLYWOOD AVENUE,,,ADDRESS,BRONX,,N/A,Assigned,1/2/11 0:00,12/3/10 0:00,10 BRONX,BRONX,1035545,237264,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.81776162,-73.81467955,"(40.81776162318647, -73.81467955399042)"
19253718,12/3/10 0:00,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,Commercial Building,10029,335 EAST 105 STREET,EAST 105 STREET,2 AVENUE,1 AVENUE,,,ADDRESS,NEW YORK,,N/A,Assigned,1/2/11 0:00,12/3/10 0:00,11 MANHATTAN,MANHATTAN,1000313,226942,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.7895649,-73.94199163,"(40.789564898616185, -73.9419916251432)"
19253783,12/3/10 0:00,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,1-2 Family Dwelling,10030,104 WEST 136 STREET,WEST 136 STREET,LENOX AVENUE,7 AVENUE,,,ADDRESS,NEW YORK,,N/A,Assigned,1/2/11 0:00,12/3/10 0:00,10 MANHATTAN,MANHATTAN,1000604,236208,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.81499699,-73.94091817,"(40.81499698956631, -73.94091816662647)"
19272937,12/6/10 0:00,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,3+ Family Apartment Building,11368,109-15 37 AVENUE,37 AVENUE,109 STREET,110 STREET,,,ADDRESS,CORONA,,N/A,Assigned,1/5/11 0:00,12/6/10 0:00,03 QUEENS,QUEENS,1023655,214022,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.75402967,-73.85777243,"(40.75402966646739, -73.85777242982793)"
19282726,12/7/10 0:00,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,Commercial Building,11218,70 OCEAN PARKWAY,OCEAN PARKWAY,BEND,CATON AVENUE,,,ADDRESS,BROOKLYN,,N/A,Assigned,1/6/11 0:00,12/9/10 0:00,07 BROOKLYN,BROOKLYN,991031,175682,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.64888057,-73.97556339,"(40.64888056891564, -73.97556338602563)"
19294672,12/8/10 0:00,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,1-2 Family Dwelling,11385,79-51 77 ROAD,77 ROAD,79 PLACE,80 STREET,,,ADDRESS,RIDGEWOOD,,N/A,Assigned,1/7/11 0:00,12/9/10 0:00,05 QUEENS,QUEENS,1020331,196461,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.70584326,-73.86986415,"(40.70584326001219, -73.86986415102135)"
19295106,12/8/10 0:00,12/8/10 0:00,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,3+ Family Apartment Building,11223,1780 WEST 3 STREET,WEST 3 STREET,KINGS HIGHWAY,HIGHLAWN AVENUE,,,ADDRESS,BROOKLYN,,N/A,Closed,1/7/11 0:00,12/8/10 0:00,11 BROOKLYN,BROOKLYN,990897,159411,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.6042202,-73.9760623,"(40.60422019610889, -73.97606230366148)"
19294983,12/8/10 0:00,12/29/10 0:00,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,3+ Family Mixed Use Building,10075,414 EAST 77 STREET,EAST 77 STREET,1 AVENUE,YORK AVENUE,,,ADDRESS,NEW YORK,,N/A,Closed,1/7/11 0:00,12/29/10 0:00,08 MANHATTAN,MANHATTAN,997243,220096,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.77077949,-73.95309156,"(40.770779489552176, -73.95309156499654)"
19304826,12/9/10 0:00,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,Commercial Building,10034,,,,,WEST  207 STREET,BROADWAY,INTERSECTION,NEW YORK,,N/A,Assigned,1/8/11 0:00,12/10/10 0:00,12 MANHATTAN,MANHATTAN,1006041,255411,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.86769186,-73.92121362,"(40.86769186022512, -73.92121361680864)"
19314072,12/10/10 0:00,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,1-2 Family Dwelling,11694,219 BEACH 99 STREET,BEACH 99 STREET,ROCKAWAY BEACH BOULEVARD,DEAD END,,,ADDRESS,ROCKAWAY PARK,,N/A,Assigned,1/9/11 0:00,12/13/10 0:00,14 QUEENS,QUEENS,1034108,152261,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.58445716,-73.82050048,"(40.58445716398802, -73.82050048102376)"
19320086,12/11/10 0:00,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,1-2 Family Dwelling,11234,2769 MILL AVENUE,MILL AVENUE,56 DRIVE,NATIONAL DRIVE,,,ADDRESS,BROOKLYN,,N/A,Assigned,1/10/11 0:00,12/13/10 0:00,18 BROOKLYN,BROOKLYN,1007874,160527,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.60725439,-73.91491952,"(40.607254391074136, -73.91491952437352)"
19320396,12/11/10 0:00,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,3+ Family Apartment Building,11104,41-35 49 STREET,49 STREET,SKILLMAN AVENUE,43 AVENUE,,,ADDRESS,SUNNYSIDE,,N/A,Assigned,1/10/11 0:00,12/13/10 0:00,02 QUEENS,QUEENS,1007725,211061,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.74595911,-73.91528012,"(40.745959114941925, -73.91528012181665)"
19329114,12/13/10 0:00,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,1-2 Family Dwelling,11235,3032 CONEY ISLAND AVENUE,CONEY ISLAND AVENUE,BRIGHTON 8 COURT,NEPTUNE AVENUE,,,ADDRESS,BROOKLYN,,N/A,Assigned,1/12/11 0:00,12/13/10 0:00,13 BROOKLYN,BROOKLYN,995367,151433,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.58231771,-73.95997772,"(40.582317710599725, -73.95997771870064)"
19329356,12/13/10 0:00,12/15/10 0:00,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,3+ Family Mixed Use Building,11207,1459 BUSHWICK AVENUE,BUSHWICK AVENUE,CHAUNCEY STREET,PILLING STREET,,,ADDRESS,BROOKLYN,,N/A,Closed,1/12/11 0:00,12/15/10 0:00,04 BROOKLYN,BROOKLYN,1009770,188391,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.68372976,-73.90798578,"(40.683729755151326, -73.90798578377245)"
19329399,12/13/10 0:00,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,3+ Family Apartment Building,11364,73-50 BELL BOULEVARD,BELL BOULEVARD,73 ROAD,75 AVENUE,,,ADDRESS,OAKLAND GARDENS,,N/A,Assigned,1/12/11 0:00,12/13/10 0:00,11 QUEENS,QUEENS,1051393,208816,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.73957344,-73.75770786,"(40.739573435913655, -73.7577078607368)"
19349240,12/15/10 0:00,12/15/10 0:00,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,3+ Family Apartment Building,11207,1459 BUSHWICK AVENUE,BUSHWICK AVENUE,CHAUNCEY STREET,PILLING STREET,,,ADDRESS,BROOKLYN,,N/A,Closed,1/14/11 0:00,12/15/10 0:00,04 BROOKLYN,BROOKLYN,1009770,188391,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.68372976,-73.90798578,"(40.683729755151326, -73.90798578377245)"
19349318,12/15/10 0:00,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,3+ Family Apartment Building,11374,98-51 64 AVENUE,64 AVENUE,98 STREET,99 STREET,,,ADDRESS,REGO PARK,,N/A,Assigned,1/14/11 0:00,12/16/10 0:00,06 QUEENS,QUEENS,1023780,205498,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.73063288,-73.85737135,"(40.73063288494794, -73.85737135299327)"
19360123,12/16/10 0:00,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Odor,Commercial Building,10033,729 WEST 181 STREET,WEST 181 STREET,MAGAW PLACE,FT WASHINGTON AVENUE,,,ADDRESS,NEW YORK,,N/A,Assigned,1/15/11 0:00,12/17/10 0:00,12 MANHATTAN,MANHATTAN,1001541,249213,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.85069018,-73.93749956,"(40.850690177656794, -73.93749956064562)"
19360124,12/16/10 0:00,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,3+ Family Apartment Building,10033,482 FORT WASHINGTON AVENUE,FORT WASHINGTON AVENUE,WEST 181 STREET,WEST 183 STREET,,,ADDRESS,NEW YORK,,N/A,Assigned,1/15/11 0:00,12/17/10 0:00,12 MANHATTAN,MANHATTAN,1001380,249474,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.85140686,-73.93808085,"(40.85140685894864, -73.9380808478241)"
19369439,12/17/10 0:00,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,3+ Family Apartment Building,10044,560 MAIN STREET,MAIN STREET,UNNAMED STREET,UNNAMED STREET,,,ADDRESS,NEW YORK,,N/A,Assigned,1/16/11 0:00,12/17/10 0:00,08 MANHATTAN,MANHATTAN,998239,217017,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.76232691,-73.94950213,"(40.76232691323873, -73.94950212991893)"
19368207,12/17/10 0:00,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,1-2 Family Mixed Use Building,11213,230 UTICA AVENUE,UTICA AVENUE,STERLING PLACE,ST JOHN'S PLACE,,,ADDRESS,BROOKLYN,,N/A,Assigned,1/16/11 0:00,12/17/10 0:00,08 BROOKLYN,BROOKLYN,1003409,183713,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.67090576,-73.93093412,"(40.67090576014802, -73.9309341195126)"
19376794,12/18/10 0:00,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,Commercial Building,11361,215-34 NORTHERN BOULEVARD,NORTHERN BOULEVARD,215 PLACE,216 STREET,,,ADDRESS,BAYSIDE,,N/A,Assigned,1/17/11 0:00,12/20/10 0:00,11 QUEENS,QUEENS,1048965,216497,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.76067387,-73.76639558,"(40.76067386726933, -73.76639557867169)"
19375737,12/18/10 0:00,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,3+ Family Apartment Building,11238,683 DEAN STREET,DEAN STREET,VANDERBILT AVENUE,UNDERHILL AVENUE,,,ADDRESS,BROOKLYN,,N/A,Assigned,1/17/11 0:00,12/20/10 0:00,08 BROOKLYN,BROOKLYN,993316,187043,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.68006195,-73.96731368,"(40.68006194837202, -73.96731368066177)"
